herb_sanskrit,varga_category,synonyms,classical_properties,raw_karma_sanskrit,english_disease,english_herb,botanical_name,english_guess,source_text,source_verse_ids
रसाञ्जनम्,हरीतक्यादिवर्गः,"रसाञ्जन, तार्क्ष्यशैल, रसगर्भ, तार्क्ष्यज","Rasa: कटु, तिक्त | Virya: उष्ण","श्लेष्म-विष-नेत्र-विकारनुत्, रसायन, छेदन, व्रणदोषहृत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0098
बाकुची,हरीतक्यादिवर्गः,"अवल्गुज, बाकुची, सोमराजी, सुपर्णिका, शशिलेखा, कृष्णाफला, सोमा, पूतिफली, सोमवल्ली, कालमेषी, कुष्ठघ्नी","Rasa: मधुरा, तिक्ता | Guna: रूक्ष | Virya: हिमा | Vipaka: कटु","रसायनी, विष्टम्भहृत्, रुच्या, सरा, श्लेष्मा-अस्र-पित्तनुत्,हृद्या , श्वास-कुष्ठ-मेह-ज्वर-कृमि-प्रणुत्, पित्तल, कुष्ठ-कफा-अनिलहर,",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0099
फलगुणाः,हरीतक्यादिवर्गः,,Rasa: कटु,"केश्य, त्वच्य-कृमि-श्वास-कास-शोथा-आम-पाण्डुनुत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0100
चक्रमर्दः,हरीतक्यादिवर्गः,"चक्रमर्द, प्रपुन्नट, दद्रुघ्न, मेषलोचन, पद्माट, एडगज, चक्री, पुन्नाट","Rasa: स्वादु | Guna: लघु, रूक्ष | Virya: हिम","पित्ता-अनिलापह, हृद्य, कफ-श्वास-कुष्ठ-दद्रु-कृमीहर",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0101
अतिविषा,हरीतक्यादिवर्गः,"विषा, अतिविषा, विश्वा, शृङ्गी, प्रतिविषा, अरुणा, शुक्लकन्दा, उपविषा, भङ्गुरा, घुणवल्लभा","Rasa: कटु, तिक्त | Virya: उष्णा","पाचनी, दीपनी, कफ-पित्ता-अतिसारा-आम-विष-कास-वमि-क्रिमीहर",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0103
शावरलोध्रः,हरीतक्यादिवर्गः,"लोध्र, तिल्व, तिरीट, शावर, गालव",Rasa: कषाय | Guna: लघु | Virya: शीत,"ग्राही, चक्षुष्य, कफपित्तनुत्, रक्त-पित्ता-असृग्ज्वरा-अतीसार-शोथहृत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0104
पलाण्डुः,हरीतक्यादिवर्गः,"पलाण्डु, यवनेष्ट, दुर्गन्ध, मुखदूषक",Rasa: स्वादु | Guna: गुरु | Virya: उष्ण | Vipaka: स्वादु,"कफकृत्, नातिपित्तल, केवलवातहर, बलवीर्यकर",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0109
तन्मजा,हरीतक्यादिवर्गः,,Rasa: मधुर,"वृष्या, बृंहणी, वातपित्तह",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0112
वृन्तमारुष्कर,हरीतक्यादिवर्गः,,Rasa: स्वादु,"पित्तघ्न, केश्य-अग्निकृत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0113
मेध्य,हरीतक्यादिवर्गः,,,"वह्निकर, कफ-वात-व्रणो-उदरकुष्ठा-आर्शग्रहणी-गुल्म-शोफा-आनाह-ज्वर-क्रिमीहर",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0114
भङ्गा,हरीतक्यादिवर्गः,"भङ्गा, गञ्जा, मातुलानी, मादिनी, विजया, जया","Rasa: तिक्त | Guna: लघु, तीक्ष्ण | Virya: उष्ण","कफहरी, ग्राहिणी, पाचनी, पित्तला, मोह-मद-वाग्व-ह्निवर्द्धिनी",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0116
खाखसः,हरीतक्यादिवर्गः,"तिलभेद, खसतिल, खाखास","Rasa: तिक्त, कषाय | Guna: लघु, रूक्ष | Virya: शीतल","ग्राहि, वातकृत्, कफकासकृत्, धातुशोषक, मदकृत्, वाग्विवर्धन, मुहुर्मोहकर, रुच्य, सेवनपुंस्त्वनाशन",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0117
अहिफेनकम्,हरीतक्यादिवर्गः,"खसफलक्षीर, आफूक, अहिफेनक",,"आफूकशोषण, ग्राहि, श्लेष्मघ्न, वातपित्तल",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0118
खाखसतिलाः,हरीतक्यादिवर्गः,"खसबीज, खाखसतिल",Guna: गुरु,"बल्य, वृष्य, कफजनक, समीरणापह",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0119
सैन्धवः,हरीतक्यादिवर्गः,"सैन्धव, शीतशिव, मणिमन्थ, सिन्धुज","Rasa: लवण, स्वादु | Guna: लघु, स्निग्ध, सूक्ष्म | Virya: शीत","दीपन, पाचन, रुच्य, वृष्य, सूक्ष्म, नेत्र्य, त्रिदोषहृत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0120
शाकम्भरीयम्,हरीतक्यादिवर्गः,"गडाख्य, रोमक","Rasa: कटु | Guna: लघु, तीक्ष्ण | Virya: उष्ण | Vipaka: कटु","वातघ्न, भेदि, पित्तल, सूक्ष्म, अभिष्यन्दि",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0121
बिडलवणम्,हरीतक्यादिवर्गः,"विड, पाक्य, कृतक, द्राविड, आसुर",Rasa: क्षार,ऊर्ध्वाधः-कफ-वाता-नुलोमन,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0123
सौवर्चलम्,हरीतक्यादिवर्गः,"सौवर्चल, रुचक, मन्थपाक","Guna: विशद, लघु","रोचन, भेदि, दीपन, पाचन, सस्नेह, वातनुत्,  न अतिपित्तल, उद्गारशुद्धिद, सूक्ष्म, विबन्धा- आनाह-शूलजित्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0125
चणकाम्लकम्,हरीतक्यादिवर्गः,-,Rasa: लवण | Virya: उष्ण,"दीपन, दन्तहर्षण, रुच्य, शूला-अजीर्ण-विबन्धनुत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0127
यवक्षारः,हरीतक्यादिवर्गः,"पाक्य, क्षार, यवक्षार, यावशूक, यवाग्रज","Guna: लघु, स्निग्ध","सुसूक्ष्म, वह्निदीपन, शूल-वात-आम-श्लेष्म-श्वास-गलामय-पाण्डु- -आ र्शो-ग्रहणी-गुल्मा-आनाह-प्लीह-हृदामयापह",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0128
स्वर्जिका,हरीतक्यादिवर्गः,"स्वर्जिका, क्षार, कापोत, सुखवर्चक",,"अल्पगुणा, गुल्मशूलहृत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0129
टङ्कणक्षारः,हरीतक्यादिवर्गः,"सौभाग्य, टङ्कण, क्षार, धातुद्रावक",Guna: रूक्ष,"वह्निकृत्, कफहृत्, वातपित्तकृत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0131
चुक्रम्,हरीतक्यादिवर्गः,"चुक्र, सहस्रवेधि, रसाम्ल, शुक्त",Rasa: अम्ल | Virya: उष्ण,"दीपन, पाचन, शूल-गुल्म-विबन्धा-आम-वात-श्लेष्महर, वमि-तृष्णा-आस्यवैरस्य-हृत्पीडा-वह्निमान्द्यहृत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0135
कर्पूरम्,कर्पूरादिवर्गः,"कर्पूर, सिताभ्र, हिमवालुक, घनसार, चन्द्रसंज्ञा, हिमनामा","Rasa: मधुर, तिक्त | Guna: लघु | Virya: शीतल","वृष्य, चक्षुष्य, लेखन, सुरभि, कफ-पित्त-विषापह, दाह-तृष्णाऽ-आस्यवैरस्य-मेदो-दौर्गन्ध्यनाशन",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0136
चीनाककर्पूरः,कर्पूरादिवर्गः,,Rasa: तिक्त,"कफक्षयकर, कुष्ठ-कण्डू-वमिहर",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0137
